Address,Translated
"Arabkir 39-th street 17, Yerevan","Arabkir 39-th street 17, Yerevan"
"Улица Мартироса Сарьяна, Ереван","Martiros Saryana Street, Yerevan"
"Shirvanzade street 2, Yerevan","Shirvanzade street 2, Yerevan"
"Nalbandyan street 35, Երևան","Nalbandyan street 35, Yerevan"
"Nork 4-th street, Yerevan","Nork 4-th street, Yerevan"
"Աշոտ Հովհաննիսյանի փողոց, Երևան","Ashot Hovhannisyan Street, Yerevan"
"Улица Мамиконянца, Ереван","Mamikonyantsa Street, Yerevan"
"Tigran Mets Avenue 28, Yerevan","Tigran Mets Avenue 28, Yerevan"
"Տիգրան Պետրոսյան փողոց 89, Երևան","Tigran Petrosyan Street 89, Yerevan"
"Daniel Varujan street 10, Yerevan","Daniel Varujan street 10, Yerevan"
"Ավան-Առինջ 2-րդ միկրոշրջան 31, Երևան","Avan-Arinj 2nd microdistrict 31, Yerevan"
"David Anhaght street 19, Yerevan","David Anhaght street 19, Yerevan"
"Sisakyan street 3, Yerevan","Sisakyan street 3, Yerevan"
"Նոր Արեշի 19-րդ փողոց, Երևան","19th New Aresh Street, Yerevan"
"Gagarin street, Yerevan","Gagarin street, Yerevan"
"Проспект Тиграна Меца, Yerevan","Tigran Metsa Avenue, Yerevan"
"Hin Yerevantsu street 2, Yerevan","Hin Yerevantsu street 2, Yerevan"
"Улица Гусана Шерама 87, Ереван","Gusan Sheram Street 87, Yerevan"
"Marshal Baghramyan avenue 31, Yerevan","Marshal Baghramyan avenue 31, Yerevan"
"Khorenatsi street 209, Yerevan","Khorenatsi street 209, Yerevan"
"Tigran Petrosyan street 56/2, Yerevan","Tigran Petrosyan street 56/2, Yerevan"
"Shahumyan 4th street 2nd lane 23, Yerevan","Shahumyan 4th street 2nd lane 23, Yerevan"
"Raffi street 69, Yerevan","Raffi street 69, Yerevan"
"Marshal Baghramyan avenue 70, Yerevan","Marshal Baghramyan avenue 70, Yerevan"
"Gyurjyan street 11/4, Yerevan","Gyurjyan street 11/4, Yerevan"
"Ծխախոտագործների փողոց, Երևան","Tobacconists Street, Yerevan"
"Առնո Բաբաջանյան փողոց 105, Երևան","105 Arno Babajanyan Street, Yerevan"
"Երզնկյան փողոց 61/2, Երևան","61/2 Erznkyan Street, Yerevan"
"Ալեք Մանուկյան փողոց 8/1, Երևան","8/1 Alek Manukyan Street, Yerevan"
"Hrachya Acharyan street 18, Yerevan","Hrachya Acharyan street 18, Yerevan"
"Tigran Petrosyan street 9, Yerevan","Tigran Petrosyan street 9, Yerevan"
"Vardan Achemyan Street, Yerevan","Vardan Achemyan Street, Yerevan"
"Գևորգ Ջահուկյան փողոց 139/2, Երևան","Gevorg Jahukyan Street 139/2, Yerevan"
"Sayat Nova avenue 27, Yerevan","Sayat Nova avenue 27, Yerevan"
"Այգեստանի 10րդ փողոց, Երևան","10th Aygestan Street, Yerevan"
"Վահրամ Փափազյան փողոց 1, Երևան","1 Vahram Papazyan Street, Yerevan"
"Sharuri street 25, Yerevan","Sharuri street 25, Yerevan"
"Ճառագայթային փողոց 1, Երևան","1 Charagaytayin Street, Yerevan"
"Հանրապետության փողոց 57, Երևան","57 Hanrapetutyan Street, Yerevan"
"4-я улица Минаса Аветисяна, Ереван","4th Minas Avetisyan Street, Yerevan"
"Тупик улицы Нерсисяна, Ереван","Nersisyan Street Dead End, Yerevan"
"Shirak street 1-st lane 7, Yerevan","Shirak street 1-st lane 7, Yerevan"
"Nikoghayos Adonts street 7, Yerevan","Nikoghayos Adonts street 7, Yerevan"
"Հրաչյա Քոչար փողոց, Yerevan","Hrachya Kochar Street, Yerevan"
"Yeghbayrutyan Street 11, Yerevan","Yeghbayrutyan Street 11, Yerevan"
"Vardanants Street 14/1, Yerevan","Vardanants Street 14/1, Yerevan"
"Forest Street 160/14, Yerevan","Forest Street 160/14, Yerevan"
"Улица Абовяна 17, Yerevan","Abovyan Street 17, Yerevan"
"Chekhov street 30, Yerevan","Chekhov street 30, Yerevan"
"Սերո Խանզադյանի փողոց 1-ին նրբանցք 15, Երևան","15, Sero Khanzadyan Street, 1st Lane, Yerevan"
"Վառլամ Ավանեսովի փողոց 1/3, Երևան","1/3 Varlam Avanesov Street, Yerevan"
"Արգիշտի փողոց 45, Երևան","45 Argishti Street, Yerevan"
"Շարուրի փողոց 57, Երևան","57 Sharuri Street, Yerevan"
"Նար–Դոսի փողոց 77, Yerevan","77 Nar-Dos Street, Yerevan"
"Raffu Street, Yerevan","Raffu Street, Yerevan"
"Sari Tagh 9th Street 9/7, Yerevan","Sari Tagh 9th Street 9/7, Yerevan"
"Hrachya Acharyan street 4, Yerevan","Hrachya Acharyan street 4, Yerevan"
"Տիգրան Մեծ պողոտա 36, Երևան","36 Tigran Mets Avenue, Yerevan"
"Aram Street Lane, Yerevan","Aram Street Lane, Yerevan"
"Amiryan Street 5a, Yerevan","Amiryan Street 5a, Yerevan"
"Թումանյան փողոց 31, Yerevan","31 Tumanyan Street, Yerevan"
"Մամիկոնյան փողոց 47, Yerevan","47 Mamikonyan Street, Yerevan"
"Վերին Անտառային փողոց 17/1, Երևան","17/1 Upper Forest Street, Yerevan"
"Nelson Stepanyan street 5, Yerevan","Nelson Stepanyan street 5, Yerevan"
"Շահումյան 16֊րդ փողոց, Երևան","Shahumyan 16th Street, Yerevan"
"Aghbyur Serob street 11/1, Yerevan","Aghbyur Serob street 11/1, Yerevan"
"Գյուլբենկյան փողոց 24, Yerevan","24 Gulbenkian Street, Yerevan"
"Tigran Mets Avenue 7, Yerevan","Tigran Mets Avenue 7, Yerevan"
"Avanesov street 8, Yerevan","Avanesov street 8, Yerevan"
"Ծովակալ Իսակովի պողոտա 52/4, Երևան","Admiral Isakov Avenue 52/4, Yerevan"
"Րաֆֆու փողոց, Երևան","Raffi Street, Yerevan"
"Komitas avenu 17, Երևան","Komitas Avenue 17, Yerevan"
"Aram Khachatryan street 9, Yerevan","Aram Khachatryan street 9, Yerevan"
"Estonakan street 9, Yerevan","Estonakan street 9, Yerevan"
"Վաղարշ Վաղարշյան փողոց 1/4, Երևան","Vagharsh Vagharshyan Street 1/4, Yerevan"
"Հակոբ Հակոբյան փողոց 1/6, Երևան","1/6 Hakob Hakobyan Street, Yerevan"
"Arno Babajanian street 3, Yerevan","Arno Babajanian street 3, Yerevan"
"Ռուբինյանց փողոց 11/1, Երևան","Rubinyants Street 11/1, Yerevan"
"Pavstos Buzand Street 7, Yerevan","Pavstos Buzand Street 7, Yerevan"
"Տիգրան Պետրոսյան փողոց, Երևան","Tigran Petrosyan Street, Yerevan"
"Griboyedov street 15a, Yerevan","Griboyedov street 15a, Yerevan"
"Կոմիտասի պողոտա 19/3, Երևան","Komitas Avenue 19/3, Yerevan"
"Tumanyan street 32/1, Երևան","Tumanyan street 32/1, Yerevan"
"Tumanyan street 12Ա, Երևան","Tumanyan street 12A, Yerevan"
"Минская улица, Ереван","Minskaya street, Yerevan"
"David Anhaght street 19/1, Yerevan","David Anhaght street 19/1, Yerevan"
"Margarian 1-st lane, Yerevan","Margarian 1-st lane, Yerevan"
"Սայաթ-Նովա թաղամաս, Երևան","Sayat-Nova district, Yerevan"
"Hakob Hakobyan Street 8, Yerevan","Hakob Hakobyan Street 8, Yerevan"
"Qeru Street, Yerevan","Qeru Street, Yerevan"
"Qeru Street 35, Yerevan","Qeru Street 35, Yerevan"
"Yervand Kochar street 3, Yerevan","Yervand Kochar street 3, Yerevan"
"Nalbandyan street 3, Երևան","Nalbandyan street 3, Yerevan"
"Լեոյի փողոց, Երևան","Leo Street, Yerevan"
"Alek Manoukyan street 7/5, Yerevan","Alek Manoukyan street 7/5, Yerevan"
"Hanrapetutyun street 58, Yerevan","Hanrapetutyun street 58, Yerevan"
"Ջրվեժի 1-ին փողոց, Երևան","1st Jrvezh Street, Yerevan"
"Mayak block, Yerevan","Mayak block, Yerevan"
"Արշակունյաց պողոտա 135Վ, Yerevan","135V Arshakunyats Avenue, Yerevan"
"Aram Street 76, Yerevan","Aram Street 76, Yerevan"
"Bagratunyats St, Yerevan","Bagratunyats St, Yerevan"
"Frunze street 12, Yerevan","Frunze street 12, Yerevan"
"Avetis Aharonyan street 12, Yerevan","Avetis Aharonyan street 12, Yerevan"
"Paronyan St 11, Yerevan","Paronyan St 11, Yerevan"
"Hakob Hakobyan Street 4, Yerevan","Hakob Hakobyan Street 4, Yerevan"
"Проспект Азатутян 9/4, Ереван","Azatutyan Avenue 9/4, Yerevan"
"Խաչատուր Աբովյանի փողոց 26Բ, Երևան","26B Khachatur Abovyan Street, Yerevan"
"Մովսես Խորենացի փողոց 1-րդ նրբանցք, Երևան","Movses Khorenatsi Street, 1st Lane, Yerevan"
"Սոսեի փողոց, Երևան","Sose Street, Yerevan"
"Kalents Street, Yerevan","Kalents Street, Yerevan"
"Vahram Papazyan street 29, Yerevan","Vahram Papazyan street 29, Yerevan"
"Վահրամ Փափազյան փողոց 34, Երևան","34 Vahram Papazyan Street, Yerevan"
"Gyulikekhvyan street 13/2, Yerevan","Gyulikekhvyan street 13/2, Yerevan"
"Արզումանյան փողոց 66, Երևան","66 Arzumanyan Street, Yerevan"
"Ezras Hasratian street, Yerevan","Ezras Hasratian street, Yerevan"
"3-й квартал Давташен, Ереван","3rd district Davtashen, Yerevan"
"Mamikonyants street 21, Yerevan","Mamikonyants street 21, Yerevan"
"Վահան Տերյանի փողոց, Երևան","Vahan Teryan Street, Yerevan"
"Գրիբոյեդով փողոց 14, Երևան","14 Griboyedov Street, Yerevan"
"Улица Никогаоса Адонца 4, Ереван","Nikohaos Adonts Street 4, Yerevan"
"Aram Cholakyan street 11, Yerevan","Aram Cholakyan street 11, Yerevan"
"Проспект Маршала Баграмяна 4, Yerevan","Marshal Baghramyan Avenue 4, Yerevan"
"Րաֆֆու փողոց, Ստեփանակերտ","Raffi Street, Stepanakert"
"Տիգրան Մեծ պողոտա 31, Երևան","31 Tigran Mets Avenue, Yerevan"
"Malatiya Street, Yerevan","Malatiya Street, Yerevan"
"Արարատյան փողոց, Երևան","Araratyan Street, Yerevan"
"Մանանդյան փողոց 9А, Երևան","9A Manandyan Street, Yerevan"
"Nikoghayos Adonts street 25, Yerevan","Nikoghayos Adonts street 25, Yerevan"
"Տիգրան Մեծի պողոտա 59, Yerevan","Tigran Mets Avenue 59, Yerevan"
"Բագրատունյաց փողոց 16, Երևան","16 Bagratunyats Street, Yerevan"
"Nairi Zaryan 1-st lane, Yerevan","Nairi Zaryan 1-st lane, Yerevan"
"Artashisyan street 86/10, Yerevan","Artashisyan street 86/10, Yerevan"
"Tairov street 3, Yerevan","Tairov street 3, Yerevan"
"Artashisyan street 42/7, Երևան","Artashisyan street 42/7, Yerevan"
"Արամ Խաչատրյանի փողոց 5, Երևան","5 Aram Khachaturian Street, Yerevan"
"Davit Anhaght Street 4/13, Yerevan","Davit Anhaght Street 4/13, Yerevan"
"Ակսել Բակունց փողոց, Երևան","Aksel Bakunts Street, Yerevan"
"Saryan Street 4, Yerevan","Saryan Street 4, Yerevan"
"Улица Каджазнуни, Ереван","Kajaznuni Street, Yerevan"
"Եկմալյան փողոց 65, Երևան","65 Yekmalyan Street, Yerevan"
"Վերին Անտառային փողոց 14, Երևան","14 Upper Forest Street, Yerevan"
"Ալեք Մանուկյան փողոց, Երևան","Alex Manukyan Street, Yerevan"
"Orbeli Brothers street 12, Yerevan","Orbeli Brothers street 12, Yerevan"
"Улица Мовсеса Хоренаци 6, Ереван","Movses Khorenatsi Street 6, Yerevan"
"Վահագնի թաղամաս, Երևան","Vahagni district, Yerevan"
"Byuzand Street, Երևան","Byuzand Street, Yerevan"
"Ավան 14-րդ փողոց, Երևան","Avan 14th Street, Yerevan"
"Northern Avenue 8, Yerevan","Northern Avenue 8, Yerevan"
"Komitas avenu 54, Երևան","Komitas Avenue 54, Yerevan"
"Մանուկյան փողոց, Երևան","Manukyan Street, Yerevan"
"Arshakunyats Avenue, Yerevan","Arshakunyats Avenue, Yerevan"
"Улица Абовяна 13, Yerevan","Abovyan Street 13, Yerevan"
"Amiryan Street 5, Yerevan","Amiryan Street 5, Yerevan"
"Ղազար Փարպեցու փողոց 11Ա, Երևան","11A Ghazar Parpetsi Street, Yerevan"
"Улица Мазманяна 10/1, Ереван","Mazmanyan street 10/1, Yerevan"
"Azatutyan Avenue 12, Yerevan","Azatutyan Avenue 12, Yerevan"
"Gyulbenkyan St 79, Yerevan","Gyulbenkyan St 79, Yerevan"
"Նորաշեն թաղամաս 6, Երևան","Norashen district 6, Yerevan"
"Դրոյի փողոց 24Ա, Երևան","24A Dro Street, Yerevan"
"Գրիգոր Հասրաթյան փողոց 25/4, Երևան","Grigor Hasratyan Street 25/4, Yerevan"
"Yeznik Koghbatsi Street, Yerevan","Yeznik Koghbatsi Street, Yerevan"
"Kurghinian St, Yerevan","Kurghinian St, Yerevan"
"Արարատյան փողոց 1-ին նրբանցք, Երևան","Araratyan Street, 1st Lane, Yerevan"
"Griboyedov street 5, Yerevan","Griboyedov street 5, Yerevan"
"Komitas Avenue 7, Yerevan","Komitas Avenue 7, Yerevan"
"Avan-Arinj 2nd micro 4, Yerevan","Avan-Arinj 2nd micro 4, Yerevan"
"Mamikonyants street 38/3, Yerevan","Mamikonyants street 38/3, Yerevan"
"Շահսուվարյան փողոց, Երևան","Shahsuvaryan Street, Yerevan"
"Արաբկիր 51 փողոց, Երևան","51 Arabkir Street, Yerevan"
"Ավանեսովի փակուղի, Երևան","Avanesov cul-de-sac, Yerevan"
"Daniel Varujan street 7, Yerevan","Daniel Varujan street 7, Yerevan"
"Amiryan Street 26/4, Yerevan","Amiryan Street 26/4, Yerevan"
"Kurghinyan street 1, Yerevan","Kurghinyan street 1, Yerevan"
"Bagratunyats Avenue 28, Yerevan","Bagratunyats Avenue 28, Yerevan"
"24-я улица, Зовуни","24th street, Zovuni"
"Տիգրան Մեծ պողոտա 36Բ, Երևան","36B Tigran Mets Avenue, Yerevan"
"Աղասի Խանջյանի փողոց 7, Երևան","7 Aghasi Khanjyan Street, Yerevan"
"Raffi St 99, Yerevan","Raffi St 99, Yerevan"
"Margarian street 19, Yerevan","Margarian street 19, Yerevan"
"Լյուքսեմբուրգի փողոց 1-ին նրբանցք, Երևան","Luxembourg Street, 1st Lane, Yerevan"
"Khnko Apor Street, Yerevan","Khnko Apor Street, Yerevan"
"Հին երևանցու փողոց, Երևան","Old Yerevan Street, Yerevan"
"Հին երևանցու փողոց 47Ա, Երևան","47A Old Yerevan Street, Yerevan"
"Ձորափի փողոց 45, Yerevan","45 Dzorap Street, Yerevan"
"Մարտիրոս Սարյանի փողոց 18, Երևան","18 Martiros Saryan Street, Yerevan"
"Улица Амо Сагяна 52, Ереван","Amo Saghyan street 52, Yerevan"
"Զավարյան փողոց 57/19, Երևան","Zavaryan Street 57/19, Yerevan"
"Mamikonyants street 54, Yerevan","Mamikonyants street 54, Yerevan"
"Այգեստանի 10րդ փողոց 42/2, Երևան","42/2 Aygestan 10th Street, Yerevan"
"Nansen street 28, Yerevan","Nansen street 28, Yerevan"
"Vahagni street, Yerevan","Vahagni street, Yerevan"
"Ազատության պողոտա 2Ա, Երևան","2A Azatutyan Avenue, Yerevan"
"Եղիշե Չարենցի փողոց 40, Երևան","40 Yeghishe Charents Street, Yerevan"
"Leningradyan Lane, Yerevan","Leningradyan Lane, Yerevan"
"Քաջազնունի փողոց 6շ, Երևան","6 Kajaznuni Street, Yerevan"
"Argishti street 11/3, Երևան","Argishti street 11/3, Yerevan"
"Հանրապետության փողոց , Yerevan","Republic Street, Yerevan"
"Vahan Teryan district 1st street 11, Avan","Vahan Teryan district 1st street 11, Avan"
"Vardanants Street 4, Yerevan","Vardanants Street 4, Yerevan"
"Միքայել Նալբանդյանի փողոց 25/27, Երևան","25/27 Mikael Nalbandyan Street, Yerevan"
"Нарекаци блок 38, Ереван","Narekati Block 38, Yerevan"
"Ռուբինյանց փողոց, Երևան","Rubinyants Street, Yerevan"
"Shovroyan street, Yerevan","Shovroyan street, Yerevan"
"Проспект Александра Мясникяна 4, Ереван","Alexander Myasnikyan Avenue 4, Yerevan"
"Davit Malyan Street 10, Yerevan","Davit Malyan Street 10, Yerevan"
"Նոր Արեշի 9րդ փողոց, Երևան","9th New Aresh Street, Yerevan"
"Khorenatsi street 47, Yerevan","Khorenatsi street 47, Yerevan"
"Ռուբինյանց փողոց 27/7, Երևան","Rubinyants Street 27/7, Yerevan"
"Улица Чехова 39/1, Ереван ","Chekhov Street 39/1, Yerevan "
"Marshal Baghramyan avenue 40, Yerevan","Marshal Baghramyan avenue 40, Yerevan"
"Gorgagotsneri street, Yerevan","Gorgagotsneri street, Yerevan"
"Vagharsh Vagharshyan street 8, Երևան","Vagharsh Vagharshyan street 8, Yerevan"
"Lepsius street 10, Yerevan","Lepsius street 10, Yerevan"
"Улица Сергея Мергеляна 15, Ереван","Sergey Mergelyan Street 15, Yerevan"
"Հյուսիսային պողոտա 6/1, Երևան","Northern Avenue 6/1, Yerevan"
"Улица Оганова 16, Yerevan","Oganova Street 16, Yerevan"
"Sundukyan Street 1, Yerevan","Sundukyan Street 1, Yerevan"
"Արմեն Գուլակյան փողոց, Երևան","Armen Gulakyan Street, Yerevan"
"Vshtuni street 4th Lane, Yerevan","Vshtuni street 4th Lane, Yerevan"
"Verin Antarayin street 13, Yerevan","Verin Antarayin street 13, Yerevan"
"Moldovakan St 56, Yerevan","Moldovakan St 56, Yerevan"
"Ծերենց փողոցի 2-րդ նրբանցք, Երևան","2nd alley of Tserents Street, Yerevan"
"Tpagrichner Street 9, Yerevan","Tpagrichner Street 9, Yerevan"
"Улица Верин Антараин, Ереван","Verin Antarain Street, Yerevan"
"Hanrapetutyan Street 70, Yerevan","Hanrapetutyan Street 70, Yerevan"
"Թումանյան փողոց 24, Երևան","24 Tumanyan Street, Yerevan"
"Artsakh avenue 18, Yerevan","Artsakh avenue 18, Yerevan"
"Улица Ерванда Кочара, Ереван","Yervand Kochar Street, Yerevan"
"Tigran Mets Avenue 41, Yerevan","Tigran Mets Avenue 41, Yerevan"
"Chekhov street 39, Երևան","Chekhov street 39, Yerevan"
"Gai ave 1/1, Yerevan","Gai ave 1/1, Yerevan"
"Проспект Саят-Новы, Ереван","Sayat-Novy Avenue, Yerevan"
"Կոմիտասի պողոտա 36Բ, Երևան","36B Komitas Avenue, Yerevan"
"Komitas avenu 92, Երևան","Komitas Avenue 92, Yerevan"
"Moskovyan street 20, Երևան","Moskovyan street 20, Yerevan"
"Улица Теряна, Ереван","Teryan Street, Yerevan"
"Улица Алабяна 50, Ереван","Halabyan street 50, Yerevan"
"Արաբկիր 53 փողոց, Երևան","Arabkir 53 Street, Yerevan"
"Gogol street 86, Yerevan","Gogol street 86, Yerevan"
"Toumanyan block 11, Yerevan","Toumanyan block 11, Yerevan"
"Frunze street 8/2, Yerevan","Frunze street 8/2, Yerevan"
"Charents 2 lane, Yerevan","Charents 2 lane, Yerevan"
"Adonts Street, Sisian","Adonts Street, Sisian"
"Պարոնյան փողոց 4Ա, Երևան","4A Paronyan Street, Yerevan"
"Սարյան փողոց 24, Երևան","24 Saryan Street, Yerevan"
"Mamikonyants St 47/1, Yerevan","Mamikonyants St 47/1, Yerevan"
"Улица Ахпюра Сероба 9, Ереван","Akhbyur Serob Street 9, Yerevan"
"Улица Ленинградян, Ереван","Leningradyan Street, Yerevan"
"Vagharsh Vagharshyan street 20, Yerevan","Vagharsh Vagharshyan street 20, Yerevan"
"Marshal Baghramyan avenue 62, Yerevan","Marshal Baghramyan avenue 62, Yerevan"
"Проспект Комитаса 36Б, Ереван","Komitas Avenue 36B, Yerevan"
"Aram Khachatryan street 13, Yerevan","Aram Khachatryan street 13, Yerevan"
"Komitas Avenue 14, Yerevan","Komitas Avenue 14, Yerevan"
"Parpetsi Street 11, Yerevan","Parpetsi Street 11, Yerevan"
"Tumanyan street 22, Yerevan","Tumanyan street 22, Yerevan"
"Улица Мамиконянц 6/2, Ереван","6/2 Mamikonyants Street, Yerevan"
"Արամ Խաչատրյան փողոց, Երևան","Aram Khachaturian Street, Yerevan"
"Улица Вагарша Вагаршяна, Ереван","Vagarsha Vagarshyan Street, Yerevan"
"Hrachya Kochar Street 10, Yerevan","Hrachya Kochar Street 10, Yerevan"
"Arzoumanian Street 6, Yerevan","Arzoumanian Street 6, Yerevan"
"Улица Никогайоса Тиграняна 8, Ереван","8 Nikogayos Tigranyan Street, Yerevan"
"Улица Мамиконянц 51/2, Ереван","51/2 Mamikonyants Street, Yerevan"
"Улица Наири Зарьяна, Ереван","Nairi Zaryana Street, Yerevan"
"2-й переулок проспекта Азатутян, Ереван","2nd lane of Azatutyan Avenue, Yerevan"
"Проспект Комитаса, Ереван","Komitas Avenue, Yerevan"
"Կարապետ Ուլնեցու փողոց 1-ին փակուղի 2, Երևան","Karapet Ulnetsi Street 1st Dead End 2, Yerevan"
"Sharur St , Yerevan","Sharur St , Yerevan"
"Paronyan street 7, Yerevan","Paronyan street 7, Yerevan"
"Ohanov St 17, Yerevan","Ohanov St 17, Yerevan"
"Moldovakan street 48/3, Yerevan","Moldovakan street 48/3, Yerevan"
"Komitas avenu 2, Երևան","Komitas Avenue 2, Yerevan"
"Arzumanyan Street 13, Yerevan","Arzumanyan Street 13, Yerevan"
"Միրաքյան փողոց, Երևան","Mirakyan Street, Yerevan"
"Kamaraki Street, Yerevan","Kamaraki Street, Yerevan"
"Vardashen 6-th street, Vardashen","Vardashen 6-th street, Vardashen"
"Arzoumanian Street 13, Yerevan","Arzoumanian Street 13, Yerevan"
"Titogradyan St, Yerevan","Titogradyan St, Yerevan"
"Leningradyan street 14, Yerevan","Leningradyan street 14, Yerevan"
"Արաբկիրի 39-րդ փողոց, Երևան","39th Arabkir Street, Yerevan"
"Մալխասյանց փողոց 60, Երևան","60 Malkhasyants Street, Yerevan"
"Komitas avenu 1, Երևան","Komitas Avenue 1, Yerevan"
"Pushkin street 3, Երևան","Pushkin street 3, Yerevan"
"Mesrop Mashtots Avenue 12, Yerevan","Mesrop Mashtots Avenue 12, Yerevan"
"Mamikonyants street 25, Yerevan","Mamikonyants street 25, Yerevan"
"Փավստոս Բուզանդի փողոց 1/3, Երևան","Pavstos Buzand Street 1/3, Yerevan"
"Սայաթ-Նովայի պողոտա 106/1, Երևան","106/1 Sayat-Nova Avenue, Yerevan"
"Amiryan Street 16, Yerevan","Amiryan Street 16, Yerevan"
"Zakian street 4, Yerevan","Zakian street 4, Yerevan"
"Զաքյան փողոց, Երևան","Zakyan Street, Yerevan"
"Սարյանի փողոց 58, Երևան","58 Saryan Street, Yerevan"
"Aygedzor street 25, Yerevan","Aygedzor street 25, Yerevan"
"Արցախի պողոտա 10գ, Երևան","Artsakh Avenue 10g, Yerevan"
"Arshakuniats Avenue 56, Yerevan","Arshakuniats Avenue 56, Yerevan"
"Փիրումյանների փողոց, Երևան","Pirumyan Street, Yerevan"
"Abovyan street 32, Yerevan","Abovyan street 32, Yerevan"
"Margarian street 11, Yerevan","Margarian street 11, Yerevan"
"Tigran Mets Avenue 36d, Yerevan","Tigran Mets Avenue 36d, Yerevan"
"Տաշքենդի փողոց, Երևան","Tashkent Street, Yerevan"
"Toumanyan block 6/10, Yerevan","Toumanyan block 6/10, Yerevan"
"Մարտիրոս Սարյանի փողոց 22, Երևան","22 Martiros Saryan Street, Yerevan"
"Halabyan Street 1, Yerevan","Halabyan Street 1, Yerevan"
"Gogol street 3, Yerevan","Gogol street 3, Yerevan"
"Leningradyan street 1, Yerevan","Leningradyan street 1, Yerevan"
"Mesrop Mashtots Avenue 27, Yerevan","Mesrop Mashtots Avenue 27, Yerevan"
"Arshakunyats Ave 19/9, Yerevan","Arshakunyats Ave 19/9, Yerevan"
"Agayan street 9, Yerevan","Agayan street 9, Yerevan"
"Բագրատունյաց փողոց 12, Երևան","12 Bagratunyats Street, Yerevan"
"Մարգարյան փողոցի 1-ին նրբանցք 10, Երևան","10 Margaryan Street, 1st Alley, Yerevan"
"Shirak street 9, Yerevan","Shirak street 9, Yerevan"
"Նար-Դոսի փողոց 7a, Երևան","7a Nar-Dos Street, Yerevan"
"Ohanov street 30, Yerevan","Ohanov street 30, Yerevan"
"Griboyedov street 42, Yerevan","Griboyedov street 42, Yerevan"
"Աբովյան փողոց 26, Yerevan","Abovyan Street 26, Yerevan"
"Paronyan street 10, Yerevan","Paronyan street 10, Yerevan"
"Ազատամարտիկների պողոտա 25/1, Երևան","25/1 Azatamartikneri Avenue, Yerevan"
"Զորավար Անդրանիկի փողոց 110, Yerevan","110 Zoravar Andranik Street, Yerevan"
"Marshal Baghramyan avenue 69, Yerevan","Marshal Baghramyan avenue 69, Yerevan"
"Arno Babajanian street 1/2, Yerevan","Arno Babajanian street 1/2, Yerevan"
"Manandyan street 3, Yerevan","Manandyan street 3, Yerevan"
"Բագրատունյաց պողոտա 38/1, Երևան","38/1 Bagratunyats Avenue, Yerevan"
"Րաֆֆու փողոց, Yerevan","Raffi Street, Yerevan"
"Halabyan Street 25, Yerevan","Halabyan Street 25, Yerevan"
"Կարապետ Ուլնեցու 3-րդ փակուղի 4/1, Երևան","4/1 Karapet Ulnetsi 3rd Dead End, Yerevan"
"Դավթաշենի 1-ին փողոցի 1-ին նրբանցք 24, Երևան","24, Davtashen 1st Street, 1st Lane, Yerevan"
"Lambron street 39, Kilikia","Lambron street 39, Kilikia"
"Erebuni St 5, Yerevan","Erebuni St 5, Yerevan"
"Erebuni St 23, Yerevan","Erebuni St 23, Yerevan"
"Արգիշտի փողոց 15/17, Երևան","15/17 Argishti Street, Yerevan"
"Տիգրան Մեծ պողոտա 61, Երևան","61 Tigran Mets Avenue, Yerevan"
"Mesrop Mashtots Avenue 36, Yerevan","Mesrop Mashtots Avenue 36, Yerevan"
"Դրոյի փողոց, Երևան","Dro Street, Yerevan"
"Ամիրյան փողոց 37, Yerevan","37 Amiryan Street, Yerevan"
"1-й переулок улицы Маргаряна, Ереван","1st lane of Margaryan street, Yerevan"
"Charents street 58, Yerevan","Charents street 58, Yerevan"
"Շարա Տալյան փողոց, Երևան","Shara Talyan Street, Yerevan"
"Atoyan street passing 20, Yerevan","Atoyan street passing 20, Yerevan"
"Улица Гарегин Овсепяна 56/6, Ереван","Garegin Hovsepyan Street 56/6, Yerevan"
"Ավետիս Ահարոնյանի փողոց, Երևան","Avetis Aharonyan Street, Yerevan"
"Verin Shengavit 2nd street 2, Yerevan","Verin Shengavit 2nd street 2, Yerevan"
"Tigran Petrosyan St 3, Yerevan","Tigran Petrosyan St 3, Yerevan"
"Araratyan street 62/2, Yerevan","Araratyan street 62/2, Yerevan"
"Gulakyan Street 80, Yerevan","Gulakyan Street 80, Yerevan"
"Չարենց թաղամաս, Երևան","Charents District, Yerevan"
"Ամիրյան փողոց 2, Yerevan","Amiryan Street 2, Yerevan"
"Mesrop Mashtots 15, Երևան","Mesrop Mashtots 15, Yerevan"
"Gyurjyan street 58, Yerevan","Gyurjyan street 58, Yerevan"
"Նարեկացու թաղամաս 16, Երևան","Narekatsi District 16, Yerevan"
"Проспект Тигран Мец 48, Ереван","Tigran Mets Avenue 48, Yerevan"
"Улица Агатангехоса 7, Ереван","7 Agathangekhosa Street, Yerevan"
"Sarkis Kasyan Street 1, Yerevan","Sarkis Kasyan Street 1, Yerevan"
"Nairi Zaryan street 74b, Yerevan","Nairi Zaryan street 74b, Yerevan"
"Զորավար Անդրանիկի փողոց 15, Երևան","15 Zoravar Andranik Street, Yerevan"
"Չարենց թաղամաս, Yerevan","Charents District, Yerevan"
"Улица Езника Кохбаци 1, Ереван","Yeznik Koghbatsi Street 1, Yerevan"
"Bashinjaghyan street 2-nd lane 6, Yerevan","Bashinjaghyan street 2-nd lane 6, Yerevan"
